gage,DRAIN_SQKM,SLOPE_PCT,ELEV_MEAN_M_BASIN,FORESTNLCD06,PLANTNLCD06,DEVNLCD06,RFACT,SANDAVE,SILTAVE,CLAYAVE,ROCKDEPAVE,PERMAVE,STOR_NOR_2009,RAW_AVG_DIS_ALLDAMS,MAJ_NDAMS_2009,avgQ,stor_per_q
9487000,2027.523,7.733762,1104.11,1.911307837,0.10564617,0.578568116,66.47441,46.48885,33.37596,20.13519,46.76967,3.235189,0.671376848,62.96026,0,2.602238748,0.257999712
9512800,2875.631,15.4991,1379.848,21.73711427,0.05126517,2.38608349,48.19874,37.26406,34.15708,28.57886,45.25432,1.892041,0.714339914,63.17081,2,45.77930333,0.015603993
9517000,3967.352,8.307046,841.7096,6.828974111,3.92899741,2.21071217,36.64271,44.6877,30.74689,24.56541,46.09658,3.22045,3.680646184,57.05704,2,19.03097065,0.193402967
9537500,2912.144,7.132089,1442.576,8.513264746,3.504944,1.806123168,49.67795,34.5684,37.15091,28.2807,48.85706,0.7542406,0.006350991,54.22058,0,3.462700587,0.001834115
11348500,3884.106,8.190428,1627.67,25.37925276,7.311511,1.004037846,20.14809,32.17282,39.72602,28.10117,36.88958,1.7518,64.93929646,35.20901,6,188.9911781,0.3436102
11376000,2312.529,20.97822,690.8425,27.821014,1.05378769,2.58755273,89.64748,30.24665,42.97972,26.77363,32.00409,1.602398,2.392923073,19.07062,2,635.1955577,0.003767223
11473900,1925.013,26.35942,1122.188,50.424544,0,2.866188731,166.566,33.19555,44.6185,22.18595,33.23551,1.576816,0.926184914,25.2437,1,1229.156059,0.000753513
11501000,4121.275,7.826496,1599.706,55.50117703,2.2566849,0.375349827,23.0409,46.49451,34.88305,18.62243,48.32875,5.389562,2.985210645,75.25465,0,432.6921331,0.006899156
11517500,2047.286,15.52161,1226.529,36.1968815,14.88973,3.63466581,35.03397,39.34763,39.46462,21.18776,46.75224,3.113306,34.44871259,20.95205,1,139.4852994,0.246970202
11519500,1713.614,27.79731,1318.788,44.9461057,7.0674301,3.452912077,48.01697,39.55719,40.94963,19.49318,38.11491,2.403596,0.251836178,13.90772,0,457.7095969,0.00055021
12324680,4590.105,16.79411,1844.335,46.0198055,5.92408,3.13137938,14.60902,39.19196,40.9103,19.89774,54.76736,3.245416,10.01661988,38.95013,6,581.7514286,0.017218041
13302005,2143.219,24.4272,2248.702,15.80997335,5.428348,1.082839352,12.64338,43.28966,43.50848,13.20187,48.00731,6.560945,3.698046723,33.15235,1,229.7109198,0.016098698
13305000,2412.171,22.16802,2259.804,24.41577428,4.5868393,0.989444775,12.09356,41.27062,43.39462,15.33475,45.943,6.200902,0.260690473,17.94614,0,238.095184,0.0010949
