PRCP,SWE,ET,PR,SRAD,TMMN,TMMX,VPD,Q,gage,date
0.0,0.0,1.5300073606835456,0.0744590139203141,92.31726982372048,276.4448714261371,281.18166740757795,0.341070405662863,348.29663999999997,08033500,2016-01-01 00:00:00+00:00
0.0,0.0,1.3180821498913888,0.0022455866720292,98.7178151020024,276.70387941212465,281.7887703491053,0.2984425740549083,339.8016,08033500,2016-01-02 00:00:00+00:00
0.0,0.0,2.083081936017293,0.0,127.61635874405646,273.4381822938286,288.0232117234829,0.6285504622289683,334.13824,08033500,2016-01-03 00:00:00+00:00
0.0,0.0,2.1669431398225583,0.0,130.70979099629494,271.9912409874202,287.06831652382795,0.5895555283454598,328.47488,08033500,2016-01-04 00:00:00+00:00
0.0,0.0,1.6570339032165264,0.001271474071044,127.42744249854536,271.54516048654995,282.54503386570855,0.0141524364887059,322.81152,08033500,2016-01-05 00:00:00+00:00
21.742498968023725,0.0,1.170846820579248,21.389245241762808,36.24960904689698,277.1811679116944,285.6524812294509,0.0,311.4848,08033500,2016-01-06 00:00:00+00:00
0.8771695928335387,0.0,1.6506364390205723,0.0486876187254626,125.469726891326,282.60903285517674,290.79113455265,0.2721831424974291,322.81152,08033500,2016-01-07 00:00:00+00:00
13.542435111612798,0.0,1.2455373904438884,13.477767080746352,103.60766973668883,282.26823050146066,289.7027997593865,0.6437411720448776,339.8016,08033500,2016-01-08 00:00:00+00:00
1.301691128837259,0.0,0.5900052188954371,0.1553461732613776,95.94751291737175,272.8269333669103,282.7509158388428,0.4822650940139869,390.77184,08033500,2016-01-09 00:00:00+00:00
0.0,0.0,1.774508825851144,0.0,134.29570382356138,271.20079896307766,280.9128683534644,0.3352204961256615,447.40544,08033500,2016-01-10 00:00:00+00:00
0.0,0.0,1.2393064173075774,0.0,92.6349639306711,271.0618812734781,284.2905494078032,0.3264691484554366,487.04895999999997,08033500,2016-01-11 00:00:00+00:00
0.0,0.0,1.8815086542015351,0.0,133.73890098847048,272.2378364003372,290.20727649431484,0.5424611473284222,495.544,08033500,2016-01-12 00:00:00+00:00
0.0,0.0,2.2275943826325477,0.0,133.93014077299875,274.4515971440442,290.92850849085704,0.3465468616489414,478.55392,08033500,2016-01-13 00:00:00+00:00
0.0,0.0,2.0482253828583383,0.0,109.970510353785,278.00518201558793,290.9226738984802,0.5236418766529783,447.40544,08033500,2016-01-14 00:00:00+00:00
0.0,0.0,2.620637366243403,0.0259883914995518,137.60619617834823,277.44528271892096,292.9421993412122,0.8332066828074586,404.93023999999997,08033500,2016-01-15 00:00:00+00:00
1.6381798825599436,0.0,1.1390359444663485,1.4089643786849748,104.21713037182522,271.82555114734646,283.6845040987749,0.3729664064904879,359.62336,08033500,2016-01-16 00:00:00+00:00
0.0,0.0,1.633901557138952,0.0,124.11466204056084,271.3679828703754,285.9614554164615,0.4425923255372398,317.14816,08033500,2016-01-17 00:00:00+00:00
0.0,0.0,1.7066591275563376,0.0,138.50940635521567,272.1304185780561,287.49522978952047,0.1909861869615526,279.203648,08033500,2016-01-18 00:00:00+00:00
0.4189000119593949,0.0,2.5749575554653914,0.2647063871351713,116.17670063180462,276.4093411599637,291.986400570962,0.4076914754964468,244.94031999999999,08033500,2016-01-19 00:00:00+00:00
1.671953397248422,0.0,1.4178941696130425,1.7160821456997668,137.35006593977988,278.55645881296664,288.70283534581176,0.3227973478872093,216.340352,08033500,2016-01-20 00:00:00+00:00
11.354033956538622,0.0,1.275496643006809,11.506692940386085,84.28780142348089,275.83078676853296,288.30271076919,0.7387809587657034,196.235424,08033500,2016-01-21 00:00:00+00:00
0.0,0.0,1.9849317278175287,0.0,111.6724223202202,271.0839502493908,282.720868615236,0.3951247711152593,185.47504,08033500,2016-01-22 00:00:00+00:00
0.0,0.0,1.652273944543834,0.0,145.52051348799944,270.64909715000863,284.29948411016176,0.1182850309624417,172.166144,08033500,2016-01-23 00:00:00+00:00
0.0,0.0,2.498296987988915,0.0,140.69501587771967,273.75191087977294,290.4135679354761,0.0733676472981954,158.57408,08033500,2016-01-24 00:00:00+00:00
3.3402814545976725,0.0,2.897137331665957,2.010210900414489,139.30767576952,280.1160870294396,295.72986785964576,1.1553640448573037,148.946368,08033500,2016-01-25 00:00:00+00:00
0.0023680753484673,0.0,2.3661491960095984,0.374350268604062,127.911059184105,276.00241694674577,287.1104757508918,0.6201619262283369,141.30083199999999,08033500,2016-01-26 00:00:00+00:00
0.0,0.0,2.0636530314144386,0.0,148.80276952894124,270.61273503411724,286.36134755901696,0.4398185470445826,133.938464,08033500,2016-01-27 00:00:00+00:00
0.0,0.0,2.5021034506682294,0.0,149.07691480525403,271.0404199995129,291.7140288396123,0.5847711473061981,125.160256,08033500,2016-01-28 00:00:00+00:00
0.0,0.0,4.0826815763389135,0.0,151.20999680575787,275.4526305653281,297.20184062154203,0.7265925612160735,116.09888,08033500,2016-01-29 00:00:00+00:00
0.0,0.0,4.26307232090892,0.0,150.2524521730807,283.84136735052107,297.00758142277186,0.7530665189130911,107.320672,08033500,2016-01-30 00:00:00+00:00
0.0,0.0,2.5344699127852763,0.0,147.14415534717915,283.4445120446979,298.7952051090317,0.9381550860795382,99.1088,08033500,2016-01-31 00:00:00+00:00
0.0,0.0,2.571424835674932,0.0,158.09794681287852,285.7158326148625,298.0770366825535,1.4183541144812633,91.18009599999999,08033500,2016-02-01 00:00:00+00:00
0.0,0.0,1.599197336193249,0.0,163.78790411887917,278.166037680122,295.13039876433174,1.23786036327566,83.817728,08033500,2016-02-02 00:00:00+00:00
